Shipment_ID,Date,Year,Month,Quarter,Carrier,Origin,Destination,Cargo_Type,Mode,Client_Type,Incoterm,Warehouse,Analyst,Planned_Days,Actual_Days,Delay_Days,On_Time,Cargo_Value,Freight_Cost,SLA_Penalty,Customs_Hold,Delivered
SHP-770487,2022-08-17,2022,8,3,FedEx,Hamburg,Singapore,Electronics,Sea Freight,Enterprise,DAP,WH-North,Analyst_E,23,24,1,0,13888.88,1110.37,6.66,1,1
SHP-781453,2024-05-09,2024,5,2,Maersk,New York,Mumbai,Textiles,Air Freight,SMB,DDP,WH-East,Analyst_C,3,2,0,1,5648.13,861.25,0.0,0,1
SHP-733052,2023-06-26,2023,6,2,FedEx,New York,Toronto,Pharma,Rail,Enterprise,DAP,WH-East,Analyst_E,11,10,0,1,17201.89,1555.23,0.0,0,0
SHP-996865,2023-04-22,2023,4,2,UPS,Tokyo,Dubai,Consumer Goods,Road,SMB,EXW,WH-East,Analyst_B,6,5,0,1,59464.41,4216.08,0.0,0,1
SHP-271339,2024-08-04,2024,8,3,Kuehne+Nagel,Hamburg,Toronto,Electronics,Road,Enterprise,CIF,WH-North,Analyst_C,7,7,0,1,4930.54,587.2,0.0,0,1
SHP-774079,2024-07-28,2024,7,3,DHL,Hamburg,Hamburg,Electronics,Road,Startup,DAP,WH-West,Analyst_C,5,5,0,1,4930.66,477.66,0.0,1,1
SHP-757924,2022-11-24,2022,11,4,Kuehne+Nagel,Busan,New York,Chemicals,Rail,Startup,DAP,WH-East,Analyst_E,9,9,0,1,64391.99,4011.34,0.0,0,1
SHP-265840,2024-07-18,2024,7,3,FedEx,Hamburg,Toronto,Automotive,Air Freight,Government,DAP,WH-Central,Analyst_B,3,2,0,1,20382.97,3085.01,0.0,0,1
SHP-480612,2023-09-22,2023,9,3,Maersk,Shanghai,Singapore,Pharma,Air Freight,Startup,FOB,WH-Central,Analyst_B,3,2,0,1,3532.48,762.45,0.0,0,1
SHP-322086,2023-02-16,2023,2,1,CMA CGM,Tokyo,Tokyo,Consumer Goods,Rail,Enterprise,CIF,WH-South,Analyst_A,11,19,8,0,14821.11,1039.25,27.71,1,1
SHP-340062,2022-05-19,2022,5,2,FedEx,Dubai,New York,Electronics,Road,Startup,CIF,WH-Central,Analyst_B,7,7,0,1,3562.93,485.14,0.0,1,1
SHP-544154,2024-04-21,2024,4,2,XPO Logistics,Shanghai,New York,Perishables,Rail,Government,FOB,WH-South,Analyst_B,9,8,0,1,3551.27,528.25,0.0,0,1
SHP-564656,2022-07-20,2022,7,3,FedEx,London,Los Angeles,Pharma,Sea Freight,SMB,DDP,WH-West,Analyst_D,21,20,0,1,9680.42,828.29,0.0,0,1
SHP-922157,2024-07-20,2024,7,3,CMA CGM,Tokyo,Toronto,Consumer Goods,Sea Freight,SMB,EXW,WH-South,Analyst_A,20,20,0,1,500.0,572.57,0.0,0,1
SHP-632496,2022-06-14,2022,6,2,DHL,Singapore,Mumbai,Pharma,Sea Freight,Startup,FOB,WH-Central,Analyst_B,20,20,0,1,596.33,965.09,0.0,0,1
SHP-350280,2023-06-28,2023,6,2,Kuehne+Nagel,Rotterdam,Dubai,Consumer Goods,Road,Enterprise,FOB,WH-West,Analyst_E,4,6,2,0,3097.15,405.04,2.7,0,1
SHP-356150,2024-01-27,2024,1,1,CMA CGM,Rotterdam,Sydney,Textiles,Air Freight,Government,FOB,WH-South,Analyst_C,2,1,0,1,1635.69,541.4,0.0,0,1
SHP-313487,2023-06-25,2023,6,2,XPO Logistics,Hamburg,Los Angeles,Pharma,Rail,Government,FOB,WH-North,Analyst_C,10,10,0,1,10724.53,1132.74,0.0,0,1
SHP-178898,2022-11-02,2022,11,4,FedEx,Dubai,Mumbai,Automotive,Rail,SMB,FOB,WH-East,Analyst_C,9,8,0,1,1897.57,795.12,0.0,0,1
SHP-526117,2022-11-13,2022,11,4,Maersk,Rotterdam,Hamburg,Chemicals,Air Freight,SMB,EXW,WH-West,Analyst_B,4,4,0,1,928.68,996.39,0.0,0,1
SHP-956253,2024-07-31,2024,7,3,DB Schenker,Hamburg,Singapore,Electronics,Air Freight,SMB,DDP,WH-East,Analyst_C,2,2,0,1,54820.76,7290.06,0.0,0,1
SHP-128941,2022-08-25,2022,8,3,CMA CGM,Rotterdam,Mumbai,Textiles,Air Freight,Enterprise,DAP,WH-West,Analyst_C,4,3,0,1,4989.42,1045.41,0.0,0,1
SHP-843215,2024-06-12,2024,6,2,FedEx,London,Toronto,Electronics,Road,Startup,FOB,WH-East,Analyst_E,6,6,0,1,7560.46,1010.04,0.0,0,1
SHP-831076,2023-08-29,2023,8,3,DHL,Los Angeles,London,Chemicals,Sea Freight,Government,DDP,WH-Central,Analyst_A,22,22,0,1,912.45,554.99,0.0,0,1
SHP-596171,2022-12-14,2022,12,4,UPS,Hamburg,Toronto,Machinery,Air Freight,SMB,EXW,WH-South,Analyst_B,3,5,2,0,3176.74,1031.36,8.25,0,1
SHP-760356,2023-02-03,2023,2,1,Kuehne+Nagel,New York,London,Electronics,Sea Freight,Enterprise,FOB,WH-West,Analyst_B,21,21,0,1,8039.94,466.79,0.0,0,1
SHP-578634,2022-10-01,2022,10,4,XPO Logistics,London,Toronto,Machinery,Rail,Startup,DAP,WH-West,Analyst_B,12,12,0,1,1344.86,856.48,0.0,0,1
SHP-387936,2024-06-19,2024,6,2,UPS,Hamburg,Singapore,Textiles,Road,Government,DAP,WH-North,Analyst_B,5,4,0,1,11700.23,859.82,0.0,0,1
SHP-535970,2022-05-08,2022,5,2,Maersk,Tokyo,London,Perishables,Rail,Startup,FOB,WH-East,Analyst_C,11,11,0,1,2933.33,731.07,0.0,0,1
SHP-331251,2024-09-26,2024,9,3,Maersk,Hamburg,London,Consumer Goods,Air Freight,Startup,EXW,WH-West,Analyst_B,5,4,0,1,4544.49,1461.57,0.0,0,1
SHP-188025,2024-05-27,2024,5,2,DHL,New York,Hamburg,Perishables,Road,Startup,EXW,WH-South,Analyst_D,5,5,0,1,2928.9,952.54,0.0,0,1
SHP-185884,2024-08-21,2024,8,3,FedEx,London,Los Angeles,Machinery,Sea Freight,Enterprise,FOB,WH-North,Analyst_B,21,20,0,1,94814.55,4006.18,0.0,0,1
SHP-328552,2024-08-10,2024,8,3,CMA CGM,Dubai,Hamburg,Pharma,Sea Freight,Government,FOB,WH-Central,Analyst_A,22,22,0,1,6740.4,726.6,0.0,0,1
SHP-824161,2023-05-13,2023,5,2,UPS,Hamburg,Mumbai,Pharma,Air Freight,Government,DAP,WH-West,Analyst_C,2,2,0,1,1534.9,1024.29,0.0,1,1
SHP-766459,2024-07-30,2024,7,3,DHL,Tokyo,Hamburg,Textiles,Rail,Startup,DDP,WH-Central,Analyst_C,11,10,0,1,22038.5,1452.96,0.0,0,1
SHP-697530,2024-02-16,2024,2,1,DB Schenker,Shanghai,Sydney,Machinery,Sea Freight,Startup,CIF,WH-East,Analyst_C,22,22,0,1,1218.12,648.94,0.0,0,1
SHP-353080,2024-04-12,2024,4,2,XPO Logistics,London,Singapore,Consumer Goods,Rail,Startup,FOB,WH-North,Analyst_C,10,10,0,1,9236.88,987.78,0.0,0,1
SHP-882169,2023-11-09,2023,11,4,DB Schenker,New York,Dubai,Textiles,Road,SMB,FOB,WH-South,Analyst_C,4,3,0,1,500.0,302.39,0.0,0,1
SHP-718226,2024-12-10,2024,12,4,CMA CGM,Singapore,Singapore,Textiles,Sea Freight,Government,CIF,WH-East,Analyst_A,21,21,0,1,1046.24,769.53,0.0,0,1
SHP-614723,2022-07-30,2022,7,3,FedEx,Busan,Dubai,Consumer Goods,Rail,Startup,EXW,WH-South,Analyst_A,11,10,0,1,9081.12,914.69,0.0,1,1
SHP-156213,2022-11-07,2022,11,4,DHL,Busan,Dubai,Pharma,Sea Freight,Enterprise,DAP,WH-West,Analyst_E,21,21,0,1,19563.23,1150.15,0.0,0,1
