Record_ID,Date,Year,Month,Quarter,Department,Region,Product,Channel,Employee_ID,Cost_Center,Revenue,Cost,Gross_Margin,Margin_Pct,Deals_Closed,Leads_Generated,Conv_Rate_Pct,Customer_Sat,NPS,Headcount,Attrition_Pct,Training_Hrs,Productivity_Pct,CAC,LTV,LTV_CAC_Ratio,MQL_Count,SQL_Count,CTR_Pct,SLA_Met,Ticket_Volume,Resolution_Hrs,Uptime_Pct,Status
REC-000001,2024-08-27,2024,Aug,Q3,Finance,Asia Pacific,Pro Plan,Inbound,EMP-0067,CC-400,12363.27,8454.44,3908.83,31.6,1,6,16.7,6.6,68,16,11.8,10.4,52.5,796.41,3829.42,4.81,109,7,2.45,1,342,15.2,99.01,Below Target
REC-000002,2024-02-12,2024,Feb,Q1,Finance,Europe,Add-On Services,Online,EMP-0036,CC-500,12551.99,7164.65,5387.34,42.9,0,9,0.0,8.7,44,150,13.3,10.8,58.1,997.44,3869.54,3.88,115,32,3.74,1,327,18.9,99.19,Above Target
REC-000003,2022-02-18,2022,Feb,Q1,Operations,Europe,Enterprise Suite,Direct Sales,EMP-0136,CC-400,92400.97,68137.68,24263.29,26.3,0,17,0.0,6.3,24,146,15.8,27.7,72.3,843.78,4196.59,4.97,98,28,5.1,1,123,17.6,99.26,Above Target
REC-000004,2023-01-04,2023,Jan,Q1,Sales,Latin America,Add-On Services,Direct Sales,EMP-0124,CC-500,5058.81,2705.69,2353.12,46.5,1,18,5.6,8.1,68,15,14.0,27.5,60.5,1301.39,2036.86,1.57,139,15,3.95,0,281,9.1,99.47,Below Target
REC-000005,2023-12-02,2023,Dec,Q4,Finance,Europe,Pro Plan,Outbound,EMP-0026,CC-200,30888.31,19545.04,11343.27,36.7,1,13,7.7,7.9,52,60,15.2,30.9,83.1,1080.11,3354.61,3.11,16,20,3.86,1,200,30.3,99.21,Above Target
REC-000006,2023-09-03,2023,Sep,Q3,Sales,North America,Enterprise Suite,Partner,EMP-0188,CC-100,77347.02,42950.52,34396.5,44.5,1,1,100.0,7.3,20,51,15.4,30.4,81.1,986.03,5506.88,5.58,140,49,2.25,1,195,29.3,99.24,Below Target
REC-000007,2023-05-27,2023,May,Q2,IT,North America,Enterprise Suite,Direct Sales,EMP-0043,CC-200,90482.87,60715.97,29766.9,32.9,3,16,18.8,6.9,43,192,13.6,26.7,85.6,1248.22,7524.83,6.03,26,32,5.36,1,199,16.6,99.52,Above Target
REC-000008,2024-01-24,2024,Jan,Q1,Marketing,Latin America,Add-On Services,Direct Sales,EMP-0043,CC-100,7280.19,4225.4,3054.79,42.0,3,17,17.6,6.0,59,190,12.4,32.2,80.3,619.85,3854.5,6.22,50,23,4.19,1,258,20.1,98.78,Below Target
REC-000009,2022-07-22,2022,Jul,Q3,Operations,Europe,Starter Pack,Direct Sales,EMP-0191,CC-200,4814.76,3415.8,1398.96,29.1,2,16,12.5,8.7,37,164,12.8,29.3,73.9,1353.85,6013.81,4.44,44,1,2.82,1,281,28.5,100.0,Above Target
REC-000010,2024-04-20,2024,Apr,Q2,Sales,Europe,Pro Plan,Inbound,EMP-0113,CC-400,14904.47,7630.5,7273.97,48.8,4,11,36.4,8.1,28,108,9.1,28.6,67.1,1190.44,2960.71,2.49,124,1,3.98,1,416,24.3,99.48,Below Target
REC-000011,2023-03-24,2023,Mar,Q1,Finance,Europe,Starter Pack,Inbound,EMP-0155,CC-300,5643.59,3460.09,2183.5,38.7,3,18,16.7,7.8,29,87,13.4,17.4,70.4,710.65,4325.36,6.09,12,25,4.18,1,184,15.1,99.42,Above Target
REC-000012,2024-04-09,2024,Apr,Q2,IT,North America,Enterprise Suite,Outbound,EMP-0099,CC-200,88507.48,66264.72,22242.76,25.1,0,12,0.0,8.1,49,187,13.5,15.8,81.2,1058.6,4860.03,4.59,34,16,2.08,1,364,5.2,99.86,On Track
REC-000013,2022-08-22,2022,Aug,Q3,Legal,North America,Add-On Services,Online,EMP-0009,CC-300,5005.35,3685.58,1319.77,26.4,3,17,17.6,8.8,42,199,13.5,17.3,58.3,1266.79,8235.79,6.5,24,46,3.13,1,487,17.3,99.1,Below Target
REC-000014,2022-05-03,2022,May,Q2,Marketing,North America,Starter Pack,Direct Sales,EMP-0184,CC-100,4378.18,2988.4,1389.78,31.7,2,12,16.7,9.8,85,39,9.9,32.1,85.6,1556.82,5357.62,3.44,104,13,4.3,1,149,27.4,98.63,On Track
REC-000015,2022-11-01,2022,Nov,Q4,Marketing,Asia Pacific,Consulting,Direct Sales,EMP-0183,CC-500,32266.37,19582.59,12683.78,39.3,3,8,37.5,8.7,37,24,13.4,16.0,67.9,1248.85,3568.55,2.86,45,3,2.32,1,91,27.4,99.06,Below Target
REC-000016,2024-05-18,2024,May,Q2,Sales,MEA,Starter Pack,Direct Sales,EMP-0083,CC-300,4530.11,2228.77,2301.34,50.8,2,12,16.7,4.7,49,127,16.6,29.4,91.3,1366.89,7398.49,5.41,86,8,3.28,0,45,20.5,98.08,On Track
REC-000017,2024-09-25,2024,Sep,Q3,Finance,Europe,Starter Pack,Direct Sales,EMP-0131,CC-200,3205.99,1429.61,1776.38,55.4,1,12,8.3,7.9,81,48,14.7,38.4,81.3,935.99,3722.09,3.98,139,40,3.35,1,170,27.5,99.83,Below Target
REC-000018,2023-08-20,2023,Aug,Q3,Finance,Europe,Pro Plan,Partner,EMP-0053,CC-400,30963.05,19234.28,11728.77,37.9,1,7,14.3,5.7,18,184,13.0,26.1,77.6,1174.48,3679.49,3.13,67,12,3.44,1,106,14.5,100.0,Above Target
REC-000019,2023-10-23,2023,Oct,Q4,HR,Europe,Starter Pack,Partner,EMP-0163,CC-400,3175.34,2078.69,1096.65,34.5,4,11,36.4,7.6,18,135,14.2,24.3,69.4,1417.46,13891.26,9.8,16,17,3.97,0,479,20.0,98.16,Below Target
REC-000020,2024-06-06,2024,Jun,Q2,Marketing,North America,Pro Plan,Partner,EMP-0052,CC-200,31814.05,25015.25,6798.8,21.4,2,10,20.0,8.5,53,59,15.2,34.3,66.0,839.34,3824.52,4.56,27,1,4.51,1,33,23.5,99.49,Above Target
REC-000021,2023-11-13,2023,Nov,Q4,IT,Europe,Starter Pack,Online,EMP-0087,CC-100,4833.78,3081.72,1752.06,36.2,3,16,18.8,6.3,24,113,13.5,12.2,73.1,1188.98,7121.03,5.99,64,23,2.8,1,453,18.2,99.83,Above Target
REC-000022,2023-05-02,2023,May,Q2,Sales,Latin America,Starter Pack,Inbound,EMP-0155,CC-500,5557.52,3620.89,1936.63,34.8,3,3,100.0,7.8,30,93,13.9,35.4,80.1,1410.06,5215.34,3.7,69,6,1.35,1,193,27.4,98.21,Above Target
REC-000023,2022-10-02,2022,Oct,Q4,HR,Latin America,Starter Pack,Outbound,EMP-0023,CC-400,4201.4,2731.64,1469.76,35.0,3,16,18.8,8.6,67,163,16.4,27.3,82.2,629.92,2971.88,4.72,19,41,3.48,1,463,21.3,99.32,Below Target
REC-000024,2022-02-20,2022,Feb,Q1,HR,Europe,Pro Plan,Outbound,EMP-0041,CC-400,29477.63,21164.77,8312.86,28.2,1,19,5.3,9.5,47,58,17.9,26.5,91.1,1489.96,8080.4,5.42,135,33,4.55,1,412,13.8,99.56,Above Target
REC-000025,2024-08-10,2024,Aug,Q3,Operations,North America,Consulting,Direct Sales,EMP-0097,CC-100,35942.46,24843.04,11099.42,30.9,0,4,0.0,9.1,32,67,13.0,11.9,74.1,1786.63,6709.26,3.76,59,26,3.0,0,258,19.6,99.6,On Track
