Transaction_ID,Date,Year,Month,Quarter,Department,Category,Transaction_Type,Source_System,Region,Currency,Analyst,Expected_Amount,Actual_Amount,Discrepancy,Discrepancy_Pct,Status
TXN-000001,2024-05-10,2024,May,Q2,Procurement,Operating Expense,Debit,ERP System,Asia Pacific,EUR,E. Nwosu,42158.36,42201.8,43.44,0.1,Reconciled
TXN-000002,2024-11-10,2024,Nov,Q4,Logistics,Operating Expense,Debit,Bank Statement,Latin America,EUR,D. Adeyemi,50527.11,50566.9,39.79,0.08,Reconciled
TXN-000003,2022-05-02,2022,May,Q2,Operations,Payroll,Debit,Bank Statement,Asia Pacific,USD,B. Mensah,139741.09,138225.14,-1515.95,-1.08,Under Review
TXN-000004,2023-04-12,2023,Apr,Q2,Logistics,Revenue,Credit,ERP System,Latin America,EUR,C. Eze,51829.21,50552.1,-1277.11,-2.46,Under Review
TXN-000005,2022-11-27,2022,Nov,Q4,Sales,Operating Expense,Debit,ERP System,Asia Pacific,EUR,C. Eze,44317.65,44341.37,23.72,0.05,Reconciled
TXN-000006,2022-03-29,2022,Mar,Q1,Operations,Accounts Payable,Debit,Manual Entry,Latin America,USD,G. Asante,60209.34,60201.39,-7.95,-0.01,Reconciled
TXN-000007,2024-05-21,2024,May,Q2,Finance,Payroll,Debit,ERP System,Asia Pacific,USD,A. Okafor,58785.82,58828.5,42.68,0.07,Reconciled
TXN-000008,2022-05-11,2022,May,Q2,Procurement,Accounts Receivable,Credit,ERP System,Europe,USD,C. Eze,16702.65,16747.02,44.37,0.27,Reconciled
TXN-000009,2024-02-09,2024,Feb,Q1,Sales,Cost of Goods Sold,Debit,Bank Statement,Asia Pacific,EUR,C. Eze,69872.94,69874.41,1.47,0.0,Reconciled
TXN-000010,2022-12-10,2022,Dec,Q4,Procurement,Revenue,Credit,ERP System,North America,USD,H. Balogun,362691.65,362093.78,-597.87,-0.16,Reconciled
TXN-000011,2024-03-16,2024,Mar,Q1,Finance,Capital Expenditure,Debit,Manual Entry,Europe,EUR,G. Asante,626046.24,625992.67,-53.57,-0.01,Reconciled
TXN-000012,2023-01-21,2023,Jan,Q1,IT,Revenue,Credit,Manual Entry,Europe,GBP,E. Nwosu,321969.43,334453.42,12483.99,3.88,Under Review
TXN-000013,2024-08-13,2024,Aug,Q3,Finance,Revenue,Credit,POS System,Middle East & Africa,NGN,G. Asante,150026.22,149755.66,-270.56,-0.18,Reconciled
TXN-000014,2022-10-04,2022,Oct,Q4,IT,Payroll,Debit,Bank Statement,Middle East & Africa,USD,D. Adeyemi,91714.42,100615.6,8901.18,9.71,Flagged
TXN-000015,2023-04-05,2023,Apr,Q2,Sales,Capital Expenditure,Debit,ERP System,Middle East & Africa,USD,A. Okafor,817087.6,817995.87,908.27,0.11,Reconciled
TXN-000016,2022-01-22,2022,Jan,Q1,Sales,Payroll,Debit,Third-Party API,Middle East & Africa,GBP,H. Balogun,91069.27,91201.02,131.75,0.14,Reconciled
TXN-000017,2022-09-10,2022,Sep,Q3,Marketing,Accounts Receivable,Credit,ERP System,North America,USD,H. Balogun,43212.76,43210.59,-2.17,-0.01,Reconciled
TXN-000018,2024-01-18,2024,Jan,Q1,Finance,Tax & Compliance,Debit,ERP System,Middle East & Africa,EUR,D. Adeyemi,42246.77,42256.35,9.58,0.02,Reconciled
TXN-000019,2024-05-06,2024,May,Q2,Logistics,Capital Expenditure,Debit,Manual Entry,North America,GBP,H. Balogun,674608.71,674418.21,-190.5,-0.03,Reconciled
TXN-000020,2023-04-20,2023,Apr,Q2,Procurement,Accounts Receivable,Credit,Bank Statement,Middle East & Africa,USD,C. Eze,19928.09,19916.49,-11.6,-0.06,Reconciled
TXN-000021,2024-12-18,2024,Dec,Q4,HR,Payroll,Debit,Manual Entry,Europe,GBP,H. Balogun,68366.85,68319.3,-47.55,-0.07,Reconciled
