Transaction_ID,Date,Department,Category,Expected_Amount,Actual_Amount,Discrepancy,Discrepancy_Pct
TXN-**1496,2022-03-20,IT,Capital Expenditure,855128.31,1143089.56,287961.25,33.67
TXN-**9934,2024-06-19,Finance,Capital Expenditure,807752.18,1078880.78,271128.6,33.57
TXN-**6591,2022-10-07,Operations,Capital Expenditure,737206.09,992463.35,255257.26,34.62
TXN-**0538,2024-02-03,Finance,Revenue,499738.11,692980.91,193242.8,38.67
TXN-**3945,2023-06-23,Logistics,Capital Expenditure,985446.94,1175295.88,189848.94,19.27
TXN-**7523,2022-04-15,IT,Capital Expenditure,474822.79,662662.49,187839.7,39.56
TXN-**1684,2024-06-07,Marketing,Capital Expenditure,916467.32,1089851.77,173384.45,18.92
TXN-**8106,2024-04-11,Logistics,Revenue,496322.11,667597.5,171275.39,34.51
TXN-**2160,2022-08-22,Finance,Capital Expenditure,490646.75,653992.5,163345.75,33.29
TXN-**1057,2024-11-12,IT,Revenue,386516.4,538505.21,151988.81,39.32
TXN-**1298,2024-09-17,Sales,Capital Expenditure,630109.43,778933.05,148823.62,23.62
TXN-**3589,2024-10-02,HR,Revenue,435341.62,583604.41,148262.79,34.06
TXN-**9554,2024-07-19,Finance,Revenue,379213.29,520086.79,140873.5,37.15
TXN-**1690,2024-05-14,Operations,Revenue,470691.37,607289.41,136598.04,29.02
TXN-**7852,2022-07-05,Procurement,Revenue,371512.86,495276.82,123763.96,33.31
TXN-**6249,2023-11-17,HR,Revenue,371462.06,493833.33,122371.27,32.94
TXN-**2642,2023-08-25,HR,Revenue,493911.18,614165.59,120254.41,24.35
TXN-**4655,2022-04-24,Finance,Revenue,298043.01,416738.11,118695.1,39.82
TXN-**3570,2022-11-16,Finance,Capital Expenditure,915075.34,1033572.74,118497.4,12.95
TXN-**1556,2024-12-09,Procurement,Revenue,400123.12,517079.83,116956.71,29.23
